Account_Number,Balance
7387323001,62113
7387323002,66974
7387323003,58563
7387323004,89340
7387323005,20585
7387323006,8021
7387323007,28099
7387323008,18005
7387323009,24916
7387323010,94539
7387323011,28469
7387323012,84982
7387323013,44723
7387323014,13773
7387323015,39642
7387323016,24240
7387323017,97269
7387323018,23585
7387323019,58084
7387323020,27955
7387323021,21839
7387323022,95093
7387323023,99687
7387323024,60172
7387323025,24947
7387323026,97303
7387323027,74157
7387323028,48767
7387323029,67521
7387323030,5949
7387323031,69611
7387323032,76815
7387323033,92341
7387323034,96745
7387323035,61978
7387323036,61250
7387323037,75594
7387323038,13147
7387323039,63546
7387323040,38736
7387323041,82712
7387323042,4220
7387323043,65502
7387323044,74054
7387323045,45338
7387323046,45078
7387323047,43701
7387323048,99965
7387323049,46026
7387323050,44161
7387323051,33915
7387323052,86995
7387323053,31702
7387323054,45159
7387323055,25662
7387323056,74082
7387323057,70186
7387323058,4127
7387323059,17600
7387323060,73512
7387323061,62239
7387323062,38141
7387323063,29330
7387323064,30132
7387323065,77930
7387323066,22828
7387323067,34817
7387323068,75624
7387323069,45168
7387323070,426
7387323071,76723
7387323072,99291
7387323073,60507
7387323074,94698
7387323075,95990
7387323076,93454
7387323077,57927
7387323078,85983
7387323079,76904
7387323080,4629
7387323081,32058
7387323082,33770
7387323083,9839
7387323084,67881
7387323085,82412
7387323086,33840
7387323087,1432
7387323088,74985
7387323089,60628
7387323090,61834
7387323091,15718
7387323092,33541
7387323093,36741
7387323094,69709
7387323095,65792
7387323096,7254
7387323097,646
7387323098,64315
7387323099,55256
7387323100,92588
7387323101,31074
7387323102,76163
7387323103,35504
7387323104,76107
7387323105,96840
7387323106,57790
7387323107,25749
7387323108,84826
7387323109,19997
7387323110,94217
7387323111,61779
7387323112,86932
7387323113,74920
7387323114,76785
7387323115,27691
7387323116,91953
7387323117,63362
7387323118,58645
7387323119,47056
7387323120,22873
7387323121,2234
7387323122,93143
7387323123,30357
7387323124,60697
7387323125,63022
7387323126,28743
7387323127,66663
7387323128,66779
7387323129,60232
7387323130,97181
7387323131,21431
7387323132,73044
7387323133,95323
7387323134,83768
7387323135,37438
7387323136,41338
7387323137,45691
7387323138,20724
7387323139,62246
7387323140,43225
7387323141,93013
7387323142,35834
7387323143,33227
7387323144,85607
7387323145,24794
7387323146,93057
7387323147,59123
7387323148,9601
7387323149,88567
7387323150,92413
7387323151,1296
7387323152,42614
7387323153,3582
7387323154,87764
7387323155,93577
7387323156,50731
7387323157,38404
7387323158,17187
7387323159,5385
7387323160,88920
7387323161,56694
7387323162,32058
7387323163,26213
7387323164,58511
7387323165,97226
7387323166,56662
7387323167,87053
7387323168,72155
7387323169,32607
7387323170,76375
7387323171,56185
7387323172,10172
7387323173,48286
7387323174,60952
7387323175,7033
7387323176,12414
7387323177,1463
7387323178,64796
7387323179,87669
7387323180,33158
7387323181,3906
7387323182,45119
7387323183,74982
7387323184,22120
7387323185,81664
7387323186,79181
7387323187,13421
7387323188,29753
7387323189,60483
7387323190,95156
7387323191,60646
7387323192,58407
7387323193,81936
7387323194,63416
7387323195,28604
7387323196,1346
7387323197,82511
7387323198,99328
7387323199,53852
7387323200,46357
7387323201,75784
7387323202,93954
7387323203,7663
7387323204,24554
7387323205,7719
7387323206,47120
7387323207,47184
7387323208,41236
7387323209,4756
7387323210,59368
7387323211,72209
7387323212,29451
7387323213,28250
7387323214,29141
7387323215,35988
7387323216,41871
7387323217,68484
7387323218,77760
7387323219,45782
7387323220,55005
7387323221,68764
7387323222,75637
7387323223,58938
7387323224,78313
7387323225,83230
7387323226,14968
7387323227,80001
7387323228,57976
7387323229,69701
7387323230,71703
7387323231,33812
