Account_Number,Customer_Id,Account_type,Account_Status
7387323001,25556707,Checking,Active
7387323002,31799439,Savings,Inactive
7387323003,13380200,Checking,Active
7387323004,23329385,Savings,Active
7387323005,81302776,Checking,Active
7387323006,50460596,Checking,Active
7387323007,63017712,Savings,Inactive
7387323008,84696506,Savings,Active
7387323009,50783179,Savings,Active
7387323010,92320020,Savings,Active
7387323011,49459351,Savings,Active
7387323012,58760757,Savings,Active
7387323013,36189313,Savings,Active
7387323014,33877698,Checking,Active
7387323015,34543009,Checking,Inactive
7387323016,72236994,Savings,Active
7387323017,76013238,Checking,Active
7387323018,81222469,Savings,Active
7387323019,30563273,Savings,Active
7387323020,96218009,Checking,Active
7387323021,13864389,Savings,Active
7387323022,10353670,Checking,Active
7387323023,44309527,Savings,Active
7387323024,41755135,Savings,Active
7387323025,16201835,Checking,Inactive
7387323026,73934663,Checking,Active
7387323027,69343030,Checking,Active
7387323028,55853080,Checking,Active
7387323029,27063568,Savings,Active
7387323030,17878728,Savings,Active
7387323031,28291833,Checking,Active
7387323032,56908232,Savings,Active
7387323033,37856617,Checking,Active
7387323034,27603808,Checking,Inactive
7387323035,31045817,Savings,Active
7387323036,50644868,Savings,Active
7387323037,74430880,Checking,Active
7387323038,56861809,Checking,Active
7387323039,75379389,Checking,Active
7387323040,76978011,Savings,Active
7387323041,30075401,Savings,Active
7387323042,27756442,Savings,Active
7387323043,95173150,Checking,Active
7387323044,97179362,Checking,Active
7387323045,59987403,Checking,Active
7387323046,47455584,Checking,Active
7387323047,59409584,Savings,Active
7387323048,67546513,Checking,Active
7387323049,24071503,Checking,Active
7387323050,28801636,Checking,Active
7387323051,53453532,Savings,Active
7387323052,31736591,Savings,Active
7387323053,40235359,Savings,Active
7387323054,55173008,Checking,Active
7387323055,70588546,Savings,Inactive
7387323056,15071347,Checking,Active
7387323057,74538851,Savings,Active
7387323058,49437707,Checking,Active
7387323059,85210985,Savings,Active
7387323060,28004730,Savings,Active
7387323061,28027477,Checking,Inactive
7387323062,99674352,Checking,Active
7387323063,83610172,Savings,Active
7387323064,90727997,Savings,Active
7387323065,51499383,Savings,Active
7387323066,43683616,Checking,Active
7387323067,59765026,Checking,Active
7387323068,44289303,Checking,Active
7387323069,49846382,Checking,Active
7387323070,10983974,Checking,Active
7387323071,60678459,Savings,Active
7387323072,46047703,Savings,Active
7387323073,95760441,Savings,Active
7387323074,44482447,Savings,Inactive
7387323075,50587908,Checking,Active
7387323076,79868501,Savings,Active
7387323077,30959137,Savings,Inactive
7387323078,44819647,Checking,Active
7387323079,95115368,Checking,Active
7387323080,16864347,Savings,Inactive
7387323081,94828335,Checking,Active
7387323082,50251055,Checking,Active
7387323083,36324102,Checking,Active
7387323084,69580894,Checking,Active
7387323085,35969803,Checking,Active
7387323086,19109554,Savings,Active
7387323087,60256428,Checking,Active
7387323088,87450688,Savings,Active
7387323089,78767057,Savings,Active
7387323090,32803212,Checking,Active
7387323091,98929301,Savings,Active
7387323092,14115198,Checking,Active
7387323093,20775384,Checking,Inactive
7387323094,74520670,Savings,Active
7387323095,94714420,Checking,Active
7387323096,85217243,Savings,Inactive
7387323097,10277979,Savings,Active
7387323098,40563937,Checking,Active
7387323099,85027340,Savings,Active
7387323100,94942232,Checking,Active
7387323101,69540996,Savings,Active
7387323102,32628142,Checking,Active
7387323103,66032125,Checking,Active
7387323104,53244142,Checking,Active
7387323105,65990569,Checking,Active
7387323106,12728558,Checking,Inactive
7387323107,75913755,Savings,Inactive
7387323108,64477232,Checking,Active
7387323109,38634933,Checking,Active
7387323110,13496164,Checking,Active
7387323111,16818528,Checking,Active
7387323112,19241326,Checking,Active
7387323113,36813690,Checking,Active
7387323114,41694948,Checking,Active
7387323115,12443464,Savings,Active
7387323116,48694224,Checking,Active
7387323117,81955268,Checking,Inactive
7387323118,56628223,Checking,Active
7387323119,73268987,Savings,Active
7387323120,25192572,Checking,Active
7387323121,16472370,Checking,Active
7387323122,69126799,Savings,Active
7387323123,80030960,Checking,Inactive
7387323124,32921781,Savings,Active
7387323125,74064223,Checking,Active
7387323126,22439030,Checking,Active
7387323127,84330389,Savings,Active
7387323128,47342110,Savings,Active
7387323129,91541655,Savings,Active
7387323130,12613734,Checking,Active
7387323131,41330501,Savings,Active
7387323132,52814640,Checking,Active
7387323133,39745041,Checking,Inactive
7387323134,72302295,Checking,Active
7387323135,83241253,Savings,Active
7387323136,34016006,Checking,Active
7387323137,64736288,Checking,Active
7387323138,63919446,Savings,Inactive
7387323139,56157925,Savings,Inactive
7387323140,95169833,Savings,Active
7387323141,32318201,Savings,Active
7387323142,22599926,Checking,Inactive
7387323143,82525259,Checking,Active
7387323144,76420843,Checking,Active
7387323145,77861369,Checking,Active
7387323146,16131156,Checking,Active
7387323147,71783081,Checking,Active
7387323148,80219106,Savings,Active
7387323149,70900553,Savings,Active
7387323150,79701383,Savings,Active
7387323151,65382658,Savings,Active
7387323152,29112496,Savings,Active
7387323153,21598061,Savings,Inactive
7387323154,65194119,Checking,Active
7387323155,29631714,Checking,Active
7387323156,54341233,Checking,Active
7387323157,30513041,Checking,Inactive
7387323158,48495115,Checking,Active
7387323159,89592544,Checking,Active
7387323160,79663905,Savings,Active
7387323161,62729149,Checking,Active
7387323162,33896394,Savings,Active
7387323163,64814418,Checking,Active
7387323164,41745864,Checking,Active
7387323165,50629062,Checking,Active
7387323166,35027896,Checking,Active
7387323167,94877420,Checking,Active
7387323168,61357691,Savings,Active
7387323169,85298595,Savings,Inactive
7387323170,85805669,Savings,Active
7387323171,55466167,Savings,Active
7387323172,87168396,Checking,Active
7387323173,62584406,Savings,Active
7387323174,60545980,Savings,Active
7387323175,71904226,Savings,Active
7387323176,85268466,Savings,Active
7387323177,38398254,Checking,Active
7387323178,26395704,Savings,Active
7387323179,99982360,Checking,Active
7387323180,41105797,Savings,Active
7387323181,64681269,Checking,Active
7387323182,90830346,Savings,Active
7387323183,89586819,Checking,Active
7387323184,26461471,Checking,Active
7387323185,34898960,Checking,Active
7387323186,90880839,Checking,Active
7387323187,38690487,Checking,Active
7387323188,50855695,Checking,Active
7387323189,73249080,Checking,Active
7387323190,71416246,Checking,Active
7387323191,31848297,Savings,Active
7387323192,97471149,Savings,Active
7387323193,16127119,Savings,Active
7387323194,65582385,Savings,Inactive
7387323195,31386338,Checking,Active
7387323196,36762301,Savings,Active
7387323197,61292208,Savings,Active
7387323198,62315758,Checking,Active
7387323199,18950503,Checking,Active
7387323200,14031097,Checking,Active
7387323201,25275154,Checking,Active
7387323202,31191467,Savings,Active
7387323203,17719195,Savings,Active
7387323204,32359577,Savings,Active
7387323205,61453728,Savings,Active
7387323206,12382865,Savings,Active
7387323207,84558725,Checking,Active
7387323208,29768743,Checking,Inactive
7387323209,36158791,Savings,Active
7387323210,69949199,Checking,Active
7387323211,50896435,Savings,Inactive
7387323212,71852084,Savings,Active
7387323213,62426576,Checking,Active
7387323214,36632577,Checking,Active
7387323215,43308651,Savings,Active
7387323216,63080643,Savings,Inactive
7387323217,26706342,Savings,Active
7387323218,46383322,Checking,Active
7387323219,31336260,Checking,Inactive
7387323220,41876678,Savings,Active
7387323221,97155751,Checking,Active
7387323222,42550641,Checking,Active
7387323223,69884431,Savings,Active
7387323224,73292318,Savings,Active
7387323225,57093006,Savings,Active
7387323226,58822047,Savings,Active
7387323227,40003160,Checking,Active
7387323228,42833709,Checking,Active
7387323229,90655914,Savings,Active
7387323230,59556351,Savings,Active
7387323231,12817142,Checking,Active
7387323232,71856417,Savings,Active
7387323233,31754571,Savings,Active
7387323234,85950006,Checking,Active
7387323235,15540802,Checking,Active
7387323236,57158081,Savings,Active
7387323237,25263351,Savings,Active
7387323238,41135573,Savings,Active
7387323239,24286404,Savings,Active
7387323240,94764385,Savings,Inactive
7387323241,75145628,Savings,Active
7387323242,42176854,Savings,Active
7387323243,23006492,Savings,Active
7387323244,61570279,Checking,Active
7387323245,49822148,Checking,Active
7387323246,16055539,Savings,Active
7387323247,21262462,Checking,Active
7387323248,85983817,Savings,Active
7387323249,72896765,Savings,Active
7387323250,83805549,Savings,Active
7387323251,82034089,Savings,Inactive
7387323252,53468902,Savings,Active
7387323253,86687778,Checking,Active
7387323254,13751414,Checking,Active
7387323255,11360522,Savings,Active
7387323256,56777487,Checking,Active
7387323257,31923586,Checking,Active
7387323258,88765531,Checking,Active
7387323259,32646637,Savings,Active
7387323260,61202388,Savings,Active
7387323261,93726856,Savings,Active
7387323262,69054310,Savings,Active
7387323263,34068049,Checking,Active
7387323264,52432447,Checking,Active
7387323265,26508528,Checking,Active
7387323266,60580930,Checking,Active
7387323267,84543402,Savings,Active
7387323268,13313154,Checking,Active
7387323269,50894763,Checking,Active
7387323270,11715841,Checking,Active
7387323271,91303675,Savings,Active
7387323272,75217971,Checking,Inactive
7387323273,54726010,Checking,Active
7387323274,25840708,Savings,Active
7387323275,19413485,Savings,Active
7387323276,61967424,Checking,Active
7387323277,69291897,Checking,Active
7387323278,70713061,Savings,Active
7387323279,26277468,Savings,Active
7387323280,12614453,Savings,Active
7387323281,31223251,Checking,Active
7387323282,59846043,Savings,Active
7387323283,73768006,Savings,Active
7387323284,63842240,Savings,Active
7387323285,28964671,Checking,Active
7387323286,82489317,Checking,Active
7387323287,65290016,Checking,Active
7387323288,39585650,Savings,Inactive
7387323289,36235384,Savings,Active
7387323290,84678826,Savings,Active
7387323291,69831113,Savings,Active
7387323292,57093664,Savings,Active
7387323293,75686072,Savings,Active
7387323294,73893563,Savings,Active
7387323295,10988315,Savings,Active
7387323296,73497180,Checking,Active
7387323297,31238935,Savings,Active
7387323298,47752533,Savings,Active
7387323299,60814675,Savings,Active
7387323300,13047757,Checking,Active
7387323301,65141028,Savings,Inactive
7387323302,92807567,Checking,Active
7387323303,73169406,Checking,Active
7387323304,90862598,Checking,Active
7387323305,82296592,Savings,Active
7387323306,69083693,Checking,Active
7387323307,54081247,Savings,Active
7387323308,50463281,Checking,Active
7387323309,63216764,Savings,Inactive
7387323310,53147871,Savings,Inactive
7387323311,78877445,Savings,Active
7387323312,88860436,Checking,Active
7387323313,81757245,Savings,Inactive
7387323314,55885428,Checking,Active
7387323315,70502812,Savings,Active
7387323316,90959649,Checking,Active
7387323317,42808913,Savings,Active
7387323318,50796657,Checking,Active
7387323319,36255540,Checking,Inactive
7387323320,84620888,Checking,Active
7387323321,80036910,Savings,Active
7387323322,86334356,Checking,Active
7387323323,52535526,Checking,Active
7387323324,29888337,Savings,Active
7387323325,37619848,Savings,Active
7387323326,73232404,Savings,Active
7387323327,48958904,Checking,Active
7387323328,54424251,Checking,Active
7387323329,67787759,Checking,Active
7387323330,78154857,Checking,Active
7387323331,49705281,Checking,Active
7387323332,69467158,Savings,Active
7387323333,33376741,Checking,Active
7387323334,13236699,Checking,Active
7387323335,93260053,Savings,Inactive
7387323336,16021917,Savings,Active
7387323337,78407036,Savings,Active
7387323338,99072779,Checking,Active
7387323339,52743443,Checking,Active
7387323340,35539301,Checking,Active
7387323341,66739353,Savings,Active
7387323342,11556648,Checking,Active
7387323343,93460589,Checking,Active
7387323344,10397696,Checking,Active
7387323345,58652147,Checking,Inactive
7387323346,65597505,Checking,Inactive
7387323347,74431673,Checking,Active
7387323348,55359385,Checking,Active
7387323349,70978019,Savings,Active
7387323350,88924688,Checking,Active
7387323351,23076204,Savings,Active
7387323352,16323173,Checking,Active
7387323353,46023288,Checking,Active
7387323354,67868030,Checking,Active
7387323355,46594996,Checking,Active
7387323356,27048968,Savings,Active
7387323357,51729708,Checking,Active
7387323358,15165619,Savings,Active
7387323359,57520123,Savings,Active
7387323360,59454267,Savings,Active
7387323361,67534535,Checking,Active
7387323362,58958827,Checking,Active
7387323363,19099681,Savings,Active
7387323364,92765933,Savings,Active
7387323365,28218289,Savings,Active
7387323366,40961176,Checking,Active
7387323367,28308747,Savings,Active
7387323368,97895163,Savings,Active
7387323369,71921708,Checking,Active
7387323370,89637143,Savings,Active
7387323371,77581283,Savings,Active
7387323372,89876080,Savings,Inactive
7387323373,18101889,Savings,Active
7387323374,43556519,Checking,Active
7387323375,81548013,Checking,Active
7387323376,44857881,Savings,Active
7387323377,94063913,Checking,Inactive
7387323378,21940006,Checking,Active
7387323379,43418616,Savings,Active
7387323380,93480842,Checking,Active
7387323381,41841537,Savings,Active
7387323382,61348353,Savings,Active
7387323383,96115796,Checking,Active
7387323384,99400416,Savings,Active
7387323385,45466597,Checking,Active
7387323386,83891346,Savings,Active
7387323387,93165062,Checking,Active
7387323388,88010374,Checking,Inactive
7387323389,22165748,Checking,Active
7387323390,95706826,Checking,Active
7387323391,75779576,Checking,Active
7387323392,65201517,Savings,Active
7387323393,79311167,Checking,Active
7387323394,94206171,Savings,Active
7387323395,65007620,Checking,Active
7387323396,92881552,Savings,Active
7387323397,64849034,Savings,Active
7387323398,70854815,Savings,Active
7387323399,13894624,Checking,Active
7387323400,79569936,Savings,Active
7387323401,29635653,Checking,Active
7387323402,20415828,Checking,Active
7387323403,22191239,Checking,Active
7387323404,73172399,Savings,Active
7387323405,93604620,Checking,Active
7387323406,56346045,Savings,Active
7387323407,46519036,Checking,Active
7387323408,26117435,Checking,Active
7387323409,63852972,Savings,Active
7387323410,96230188,Checking,Active
7387323411,57845313,Checking,Active
7387323412,55414899,Checking,Active
7387323413,94573710,Savings,Active
7387323414,23828072,Savings,Active
7387323415,54080783,Savings,Active
7387323416,87868731,Checking,Active
7387323417,70829915,Savings,Active
7387323418,42850281,Checking,Active
7387323419,75376088,Checking,Active
7387323420,80602914,Checking,Inactive
7387323421,13478865,Savings,Active
7387323422,67746029,Checking,Active
7387323423,97222063,Savings,Active
7387323424,47156231,Savings,Active
7387323425,51886091,Savings,Active
7387323426,32410853,Savings,Active
7387323427,28395545,Checking,Active
7387323428,96321795,Checking,Active
7387323429,37224951,Checking,Active
7387323430,79894284,Checking,Active
7387323431,92799935,Checking,Active
7387323432,74574599,Savings,Active
7387323433,44453600,Checking,Active
7387323434,93705763,Checking,Active
7387323435,37805688,Checking,Active
7387323436,88436067,Checking,Active
7387323437,84627582,Savings,Active
7387323438,14640181,Savings,Active
7387323439,24381127,Savings,Active
7387323440,75465230,Savings,Active
7387323441,66112148,Checking,Active
7387323442,42145204,Checking,Active
7387323443,72760228,Savings,Active
7387323444,56908889,Savings,Active
7387323445,43910949,Savings,Active
7387323446,97395324,Checking,Active
7387323447,46417641,Savings,Active
7387323448,74006130,Savings,Active
7387323449,28405184,Checking,Active
7387323450,93879868,Checking,Inactive
7387323451,99602234,Savings,Inactive
7387323452,93143626,Checking,Active
7387323453,40333820,Savings,Active
7387323454,23282656,Savings,Inactive
7387323455,89481433,Checking,Active
7387323456,73092608,Checking,Active
7387323457,39028170,Checking,Active
7387323458,91206893,Checking,Active
7387323459,66780044,Savings,Active
7387323460,97945144,Savings,Active
7387323461,32188201,Savings,Inactive
7387323462,51824399,Checking,Active
7387323463,29284479,Checking,Active
7387323464,87778444,Checking,Active
7387323465,16690909,Checking,Active
7387323466,20659511,Checking,Active
7387323467,48398552,Savings,Active
7387323468,44251495,Checking,Active
7387323469,48431263,Checking,Active
7387323470,10641112,Savings,Active
7387323471,34891052,Savings,Inactive
7387323472,37934199,Savings,Active
7387323473,49715063,Checking,Active
7387323474,36443262,Savings,Inactive
7387323475,97405162,Checking,Active
7387323476,96286589,Checking,Active
7387323477,54209528,Checking,Active
7387323478,45040493,Checking,Active
7387323479,52083145,Savings,Active
7387323480,87204267,Savings,Active
7387323481,80176292,Checking,Inactive
7387323482,74893636,Savings,Active
7387323483,60135391,Savings,Active
7387323484,38528630,Checking,Active
7387323485,65753080,Checking,Active
7387323486,37777842,Checking,Active
7387323487,46800174,Checking,Active
7387323488,30287844,Savings,Active
7387323489,68467535,Checking,Active
7387323490,38564293,Checking,Active
7387323491,50436869,Savings,Active
7387323492,37891919,Savings,Active
7387323493,41744420,Checking,Active
7387323494,58014031,Checking,Active
7387323495,74239443,Checking,Active
7387323496,76947357,Checking,Active
7387323497,50538161,Checking,Active
7387323498,81427417,Savings,Active
7387323499,75934711,Savings,Active
